prodnombre,kg_por_bolsa,bolsas_cerradas,kg_abiertos
DOG SELECTION CRIADORES ADUL RG x21kg (SALADILLO) (EL CHOIQUE),"21,00",1,
DOG SELECTION CRIADORES ADUL RG x8kg (SALADILLO) (EL CHOIQUE),"8,00",1,
DOG SELECTION CRIADORES CACHO x21kg (SALADILLO) (EL CHOIQUE),"21,00",1,
DOG SELECTION CRIADORES CACHO x8kg (SALADILLO) (EL CHOIQUE),"8,00",1,
DOG SELECTION CRIADORES RP x15kg (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA AD SENIOR LIGHT X15KG (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA AD SENIOR LIGHT X2KG (SALADILLO) (EL CHOIQUE),"2,00",1,
DOG SELECTION ETQUETA NEGRA ADULTO RP X15KG (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA ADULTO RP X2KG (SALADILLO) (EL CHOIQUE),"2,00",1,
DOG SELECTION ETQUETA NEGRA CACHORRO X15KG (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA CACHORRO X2KG (SALADILLO) (EL CHOIQUE),"2,00",1,
DOG SELECTION ETQUETA NEGRA DERMA X15KG (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA DERMA X2KG (SALADILLO) (EL CHOIQUE),"2,00",1,
DOG SELECTION ETQUETA NEGRA MEDIANA X15KG (SALADILLO) (EL CHOIQUE),"15,00",1,
DOG SELECTION ETQUETA NEGRA MEDIANA X21KG (SALADILLO) (EL CHOIQUE),"21,00",1,
DOG SELECTION ETQUETA NEGRA MEDIANA X2KG (SALADILLO) (EL CHOIQUE),"2,00",1,
DOG SELECTION PREMIUM CACHO x15kg (SALADILLO) (EL CHOIQUE),"15,00",1,
DOGCHOW ADULTO RG x21kg (GOMENSORO),"21,00",1,
DOGCHOW ADULTO RG x8kg,"8,00",1,
DOGCHOW ADULTO RP x21kg (GOMENSORO),"21,00",1,
DOGCHOW ADULTO RP x8kg,"8,00",1,
DOGCHOW CACHORRO RP x21kg (GOMENSORO),"21,00",1,
DOGCHOW CACHORRO x21kg (GOMENSORO),"21,00",1,
DOGUI ADULTO x21kg (GOMENSORO),"21,00",1,
DOGUI CACHORRO x21kg (GOMENSORO),"21,00",1,
ESTAMPA CACHORRO X 8 KG (DISTRIBUIDORA SEDA),"8,00",1,
ESTAMPA GATO ADULTO X 15 KG (DISTRIBUIDORA SEDA),"15,00",1,
ESTAMPA GATO ADULTO X 8 KG (DISTRIBUIDORA SEDA),"8,00",1,
ESTAMPA PERRO ADULTO RP X8 KG (DISTRIBUIDORA SEDA),"8,00",1,
ESTAMPA PERRO ADULTO X 8 KG (DISTRIBUIDORA SEDA),"8,00",1,
EXACT GATOS ADULTOS X 10 KG (GEPSA),"10,00",1,
EXACT PERROS ADULTOS X 25 KG (GEPSA),"25,00",1,
EXACT PERROS CACHORROS X 15 KG (GEPSA),"15,00",1,
Excelent cat adult reduce calorie x1kg (LUCHEZZE),"1,00",1,
EXCELLENT GATO ADULTO x15kg (SALADILLO),"15,00",1,
EXCELLENT GATO ADULTO x3kg (SALADILLO),"3,00",1,
"EXCELLENT GATO ADULTO x7,5kg (SALADILLO)","7,50",1,
"EXCELLENT GATO STERILIZED x7,5kg (SALADILLO)","7,50",1,
EXCELLENT GATO URINARY 1 KG (SALADILLO),"1,00",1,
"EXCELLENT GATO URINARY 7,5 KG (SALADILLO)","15,00",1,
EXCELLENT KITTEN x1kg (SALADILLO),"1,00",1,
"EXCELLENT KITTEN x7,5kg (SALADILLO)","7,50",1,
EXCELLENT PERRO ADULTO R.P x3kg (GOMENSORO),"3,00",1,
EXCELLENT PERRO ADULTO RM Y G x20kg (GOMENSORO),"20,00",1,
EXCELLENT PERRO PUPPY RG x20kg (GOMENSORO),"20,00",1,
EXCELLENT PERRO PUPPY RG x3kg (GOMENSORO),"3,00",1,
EXCELLENT PUPPY MG X3KG (GOMENSORO),"3,00",1,
EXCELLENT SKIN CARE X3KG (GOMENSORO),"3,00",1,
FAWNA GATO ADULTO X 3 KG (GOMENSORO),"3,00",1,
FAWNA GATO ADULTO X 7.5 KG (GOMENSORO),"7,50",1,
FAWNA GATO KITTEN X 3 KG (GOMENSORO),"3,00",1,
FAWNA GATO STERILIZED X 3 KG (GOMENSORO),"3,00",1,
FAWNA GATO STERILIZED X 7.5 KG (GOMENSORO),"7,50",1,
FAWNA GATO URINARY X 3 KG (GOMENSORO),"3,00",1,
FAWNA GATO URINARY X 7.5 KG (GOMENSORO),"7,50",1,
FAWNA PERRO ADULTO M/G X 15 KG (GOMENSORO),"15,00",1,
FAWNA PERRO ADULTO M/G X 3 KG (GOMENSORO),"3,00",1,
FAWNA PERRO ADULTO M/P X 3 KG (GOMENSORO),"3,00",1,
FAWNA PERRO ADULTO M/P X 7.5 KG (GOMENSORO),"7,50",1,
FAWNA PERRO CACHORRO M/G X 15 KG (GOMENSORO),"15,00",1,
FAWNA PERRO CACHORRO M/G X 3 KG (GOMENSORO),"3,00",1,
FAWNA PERRO CACHORRO M/G X 7.5 KG (GOMENSORO),"7,50",1,
FAWNA PERRO CACHORRO M/P X 3 KG (GOMENSORO),"3,00",1,
FAWNA PERRO CACHORRO M/P X 7.5 KG (GOMENSORO),"7,50",1,
FISHY GATO 15 KG,"15,00",1,
GANACAN CACHORRO x15kg (EL CHOIQUE),"15,00",1,
GANACAN CACHORRO x22kg (EL CHOIQUE),"22,00",1,
GANACAN PERRO ADULTO x22kg (EL CHOIQUE),"22,00",1,
GANACAT MIX X 10 KG (EL CHOIQUE),"10,00",1,
GANACAT MIX X 15 KG (EL CHOIQUE),"15,00",1,
GATI X15kg (GOMENSORO),"15,00",1,
GATO LAC / PERRO LAC (DISTRIBUIDORA MAIPÚ),"0,35",1,
GAUCHO PERRO X 25 KG,"25,00",1,
